name,team,mlbam,batter_hand,throws_hand,source
Jonny DeLuca,Tampa Bay Rays,676356,R,R,MLB_STATS_API
Jordan Walker,St. Louis Cardinals,691023,R,R,MLB_STATS_API
Jorge Mateo,Atlanta Braves,622761,R,R,MLB_STATS_API
Jose Altuve,Houston Astros,514888,R,R,MLB_STATS_API
Josh Bell,Minnesota Twins,605137,S,R,MLB_STATS_API
Josh Jung,Texas Rangers,673962,R,R,MLB_STATS_API
Josh Naylor,Seattle Mariners,647304,L,L,MLB_STATS_API
Juan Soto,New York Mets,665742,L,L,MLB_STATS_API
Julio Rodríguez,Seattle Mariners,677594,R,R,MLB_STATS_API
Jung Hoo Lee,San Francisco Giants,808982,L,R,MLB_STATS_API
Junior Caminero,Tampa Bay Rays,691406,R,R,MLB_STATS_API
Kazuma Okamoto,Toronto Blue Jays,672960,R,R,MLB_STATS_API
Ke'Bryan Hayes,Cincinnati Reds,663647,R,R,MLB_STATS_API
Keibert Ruiz,Washington Nationals,660688,S,R,MLB_STATS_API
Ketel Marte,Arizona Diamondbacks,606466,S,R,MLB_STATS_API
Kody Clemens,Minnesota Twins,665019,L,R,MLB_STATS_API
Kyle Karros,Colorado Rockies,691720,R,R,MLB_STATS_API
Kyle Schwarber,Philadelphia Phillies,656941,L,R,MLB_STATS_API
Kyle Stowers,Miami Marlins,669065,L,L,MLB_STATS_API
Kyle Tucker,Los Angeles Dodgers,663656,L,R,MLB_STATS_API
Lane Thomas,Kansas City Royals,657041,R,R,MLB_STATS_API
Liam Hicks,Miami Marlins,689414,L,R,MLB_STATS_API
Lourdes Gurriel Jr.,Arizona Diamondbacks,666971,R,R,MLB_STATS_API
Luis Arraez,San Francisco Giants,650333,L,R,MLB_STATS_API
Luis Rengifo,Milwaukee Brewers,650859,S,R,MLB_STATS_API
Luis Torrens,New York Mets,620443,R,R,MLB_STATS_API
Luke Keaschall,Minnesota Twins,807712,R,R,MLB_STATS_API
Luke Raley,Seattle Mariners,670042,L,R,MLB_STATS_API
Maikel Garcia,Kansas City Royals,672580,R,R,MLB_STATS_API
Manny Machado,San Diego Padres,592518,R,R,MLB_STATS_API
Marcell Ozuna,Pittsburgh Pirates,542303,R,R,MLB_STATS_API
Marcelo Mayer,Boston Red Sox,691785,L,R,MLB_STATS_API
Marcus Semien,New York Mets,543760,R,R,MLB_STATS_API
Mark Vientos,New York Mets,668901,R,R,MLB_STATS_API
Masataka Yoshida,Boston Red Sox,807799,L,R,MLB_STATS_API
Masyn Winn,St. Louis Cardinals,691026,R,R,MLB_STATS_API
Matt Chapman,San Francisco Giants,656305,R,R,MLB_STATS_API
Matt McLain,Cincinnati Reds,680574,R,R,MLB_STATS_API
Matt Olson,Atlanta Braves,621566,L,R,MLB_STATS_API
Matt Vierling,Detroit Tigers,663837,R,R,MLB_STATS_API
Mauricio Dubón,Atlanta Braves,643289,R,R,MLB_STATS_API
Max Muncy,Los Angeles Dodgers,571970,L,R,MLB_STATS_API
Michael Busch,Chicago Cubs,683737,L,R,MLB_STATS_API
Michael Harris II,Atlanta Braves,671739,L,L,MLB_STATS_API
Mickey Gasper,Boston Red Sox,681508,S,R,MLB_STATS_API
Mickey Moniak,Colorado Rockies,666160,L,R,MLB_STATS_API
Miguel Andujar,San Diego Padres,609280,R,R,MLB_STATS_API
Miguel Vargas,Chicago White Sox,678246,R,R,MLB_STATS_API
Mike Yastrzemski,Atlanta Braves,573262,L,L,MLB_STATS_API
Moisés Ballesteros,Chicago Cubs,694208,L,R,MLB_STATS_API
Mookie Betts,Los Angeles Dodgers,605141,R,R,MLB_STATS_API
