name,team,game,lineup_spot,player_id,avg,obp,ops,slg,iso,hits,doubles,triples,home_runs,extra_base_hits,total_bases,rbi,walks,strikeouts,plate_appearances,at_bats,strikeout_rate,walk_rate,hit_rate,total_bases_per_at_bat,stat_status
Colson Montgomery,Chicago White Sox,Kansas City Royals @ Chicago White Sox,4,695657,.230,.331,.831,0.500,0.270,35,8,0,11,19,76,29,16,51,175,152,29.1,9.1,23.0,0.500,ok
Nick Loftin,Kansas City Royals,Kansas City Royals @ Chicago White Sox,5,679845,.261,.379,.770,0.391,0.130,12,6,0,0,6,18,13,8,5,58,46,8.6,13.8,26.1,0.391,ok
Chase Meidroth,Chicago White Sox,Kansas City Royals @ Chicago White Sox,5,805367,.272,.341,.732,0.391,0.119,41,9,0,3,12,59,9,17,43,174,151,24.7,9.8,27.2,0.391,ok
Vinnie Pasquantino,Kansas City Royals,Kansas City Royals @ Chicago White Sox,6,686469,.206,.287,.642,0.355,0.148,32,4,2,5,11,55,21,18,35,178,155,19.7,10.1,20.6,0.355,ok
Andrew Benintendi,Chicago White Sox,Kansas City Royals @ Chicago White Sox,6,643217,.221,.269,.613,0.344,0.123,27,5,2,2,9,42,17,9,42,134,122,31.3,6.7,22.1,0.344,ok
Starling Marte,Kansas City Royals,Kansas City Royals @ Chicago White Sox,7,516782,.300,.356,.731,0.375,0.075,12,3,0,0,3,15,2,3,13,45,40,28.9,6.7,30.0,0.375,ok
Jarred Kelenic,Chicago White Sox,Kansas City Royals @ Chicago White Sox,7,672284,.267,.371,.671,0.300,0.033,8,1,0,0,1,9,3,5,7,35,30,20.0,14.3,26.7,0.300,ok
Isaac Collins,Kansas City Royals,Kansas City Royals @ Chicago White Sox,8,686555,.233,.348,.701,0.353,0.121,27,5,0,3,8,41,13,17,38,138,116,27.5,12.3,23.3,0.353,ok
Tristan Peters,Chicago White Sox,Kansas City Royals @ Chicago White Sox,8,671976,.271,.327,.660,0.333,0.063,26,4,1,0,5,32,7,7,26,107,96,24.3,6.5,27.1,0.333,ok
Elias Díaz,Kansas City Royals,Kansas City Royals @ Chicago White Sox,9,553869,.211,.250,.724,0.474,0.263,4,2,0,1,3,9,3,1,4,20,19,20.0,5.0,21.1,0.474,ok
Drew Romo,Chicago White Sox,Kansas City Royals @ Chicago White Sox,9,691011,.161,.350,.931,0.581,0.419,5,1,0,4,5,18,6,8,9,40,31,22.5,20.0,16.1,0.581,ok
Ketel Marte,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,1,606466,.215,.271,.638,0.367,0.152,34,5,2,5,12,58,15,12,30,170,158,17.6,7.1,21.5,0.367,ok
Corbin Carroll,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,2,682998,.266,.377,.881,0.504,0.237,37,10,4,5,19,70,20,24,39,167,139,23.4,14.4,26.6,0.504,ok
Geraldo Perdomo,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,3,672695,.218,.338,.691,0.353,0.135,29,6,3,2,11,47,12,25,22,162,133,13.6,15.4,21.8,0.353,ok
Nolan Arenado,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,4,571448,.274,.329,.781,0.452,0.178,37,6,0,6,12,61,20,11,30,149,135,20.1,7.4,27.4,0.452,ok
Ildemaro Vargas,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,5,545121,.331,.354,.915,0.561,0.230,46,7,2,7,16,78,28,5,16,146,139,11.0,3.4,33.1,0.561,ok
Lourdes Gurriel Jr.,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,6,666971,.194,.270,.509,0.239,0.045,13,3,0,0,3,16,6,7,13,74,67,17.6,9.5,19.4,0.239,ok
Adrian Del Castillo,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,7,680728,.198,.247,.596,0.349,0.151,17,4,0,3,7,30,16,6,30,93,86,32.3,6.5,19.8,0.349,ok
Gabriel Moreno,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,8,672515,.216,.268,.606,0.338,0.122,16,6,0,1,7,25,9,5,19,82,74,23.2,6.1,21.6,0.338,ok
Ryan Waldschmidt,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,9,814439,.278,.316,.705,0.389,0.111,5,2,0,0,2,7,3,1,5,19,18,26.3,5.3,27.8,0.389,ok
Luke Raley,Seattle Mariners,Seattle Mariners @ Houston Astros,,670042,.268,.333,.922,0.589,0.321,30,4,1,10,15,66,27,8,43,124,112,34.7,6.5,26.8,0.589,ok
Shea Langeliers,Athletics,St. Louis Cardinals @ Athletics,,669127,.340,.397,1.020,0.623,0.284,55,10,0,12,22,101,27,15,39,179,162,21.8,8.4,34.0,0.623,ok
Nick Kurtz,Athletics,St. Louis Cardinals @ Athletics,,701762,.275,.428,.905,0.477,0.203,42,8,1,7,16,73,26,40,57,194,153,29.4,20.6,27.5,0.477,ok
Dominic Canzone,Seattle Mariners,Seattle Mariners @ Houston Astros,,686527,.253,.320,.782,0.462,0.209,23,7,0,4,11,42,18,9,23,103,91,22.3,8.7,25.3,0.462,ok
Ian Happ,Chicago Cubs,Chicago Cubs @ Atlanta Braves,,664023,.229,.372,.830,0.458,0.229,35,6,1,9,16,70,18,33,58,188,153,30.9,17.6,22.9,0.458,ok
Brent Rooker,Athletics,St. Louis Cardinals @ Athletics,,667670,.190,.284,.644,0.360,0.170,19,2,0,5,7,36,18,14,36,116,100,31.0,12.1,19.0,0.360,ok
Corey Seager,Texas Rangers,Arizona Diamondbacks @ Texas Rangers,,608369,.179,.286,.639,0.353,0.173,28,6,0,7,13,55,20,22,50,182,156,27.5,12.1,17.9,0.353,ok
Kyle Stowers,Miami Marlins,Miami Marlins @ Minnesota Twins,,669065,.215,.319,.623,0.304,0.089,17,4,0,1,5,24,3,10,21,91,79,23.1,11.0,21.5,0.304,ok
Tyler Soderstrom,Athletics,St. Louis Cardinals @ Athletics,,691016,.195,.277,.660,0.383,0.188,30,12,1,5,18,59,20,18,36,173,154,20.8,10.4,19.5,0.383,ok
Cal Raleigh,Seattle Mariners,Seattle Mariners @ Houston Astros,,663728,.161,.243,.560,0.317,0.155,26,4,0,7,11,51,18,18,57,181,161,31.5,9.9,16.1,0.317,ok
Max Muncy,Los Angeles Dodgers,San Francisco Giants @ Los Angeles Dodgers,,571970,.272,.365,.916,0.551,0.279,37,5,0,11,16,75,17,20,39,156,136,25.0,12.8,27.2,0.551,ok
Julio Rodríguez,Seattle Mariners,Seattle Mariners @ Houston Astros,,677594,.261,.325,.753,0.428,0.167,47,9,0,7,16,77,20,15,47,197,180,23.9,7.6,26.1,0.428,ok
Jordan Walker,St. Louis Cardinals,St. Louis Cardinals @ Athletics,,691023,.294,.370,.945,0.575,0.281,47,9,0,12,21,92,32,19,50,181,160,27.6,10.5,29.4,0.575,ok
