player,player_key,player_id,team,game,event_id,market,line,best_odds,best_book,book_count,market_average_odds,all_books
Heliot Ramos,heliot ramos,HELIOT_RAMOS_1_MLB,SAN_FRANCISCO_GIANTS_MLB,San Francisco Giants @ Athletics,H8XBXLklWHd2ErXIGMUd,2+ TB,1.5,115,betmgm,4,51,betmgm:+115 | bovada:+105 | draftkings:+104 | fanduel:-120
Henry Davis,henry davis,HENRY_DAVIS_1_MLB,PITTSBURGH_PIRATES_MLB,Philadelphia Phillies @ Pittsburgh Pirates,Nq7MBysDaMRfYt9Chvjq,2+ TB,1.5,212,draftkings,6,-15,draftkings:+212 | fanduel:+195 | betmgm:-120 | bovada:-123 | caesars:-124 | espnbet:-130
Hunter Feduccia,hunter feduccia,HUNTER_FEDUCCIA_1_MLB,TAMPA_BAY_RAYS_MLB,Miami Marlins @ Tampa Bay Rays,fPt7sNscCxaj4iQ94hIH,2+ TB,1.5,240,fanduel,3,231,fanduel:+240 | fanduel:+230 | draftkings:+222
Hunter Goodman,hunter goodman,HUNTER_GOODMAN_1_MLB,COLORADO_ROCKIES_MLB,Arizona Diamondbacks @ Colorado Rockies,riD2wa1xBCGVtP6u4lHX,2+ TB,1.5,-105,betmgm,6,-125,betmgm:-105 | espnbet:-120 | caesars:-122 | bovada:-125 | draftkings:-126 | fanduel:-155
Hyeseong Kim,hyeseong kim,HYESEONG_KIM_1_MLB,LOS_ANGELES_DODGERS_MLB,Los Angeles Dodgers @ Los Angeles Angels,ocN7K0W6fGdkYTeIusGv,2+ TB,1.5,202,draftkings,4,11,draftkings:+202 | fanduel:+190 | bovada:-149 | betmgm:-200
Ian Happ,ian happ,IAN_HAPP_1_MLB,CHICAGO_CUBS_MLB,Chicago Cubs @ Chicago White Sox,5V5IFTF9KGU3FYQtIb6f,2+ TB,1.5,161,bovada,6,-2,bovada:+161 | draftkings:+151 | fanduel:+145 | betmgm:-150 | caesars:-159 | espnbet:-160
Isaac Collins,isaac collins,ISAAC_COLLINS_1_MLB,KANSAS_CITY_ROYALS_MLB,Kansas City Royals @ St. Louis Cardinals,rvthegEIrAEvXgoXqnAa,2+ TB,1.5,181,draftkings,6,-47,draftkings:+181 | fanduel:+170 | bovada:-152 | betmgm:-160 | espnbet:-160 | caesars:-164
Isaac Paredes,isaac paredes,ISAAC_PAREDES_1_MLB,HOUSTON_ASTROS_MLB,Texas Rangers @ Houston Astros,2arMilGiaVhajMn8oOwm,2+ TB,1.5,158,bovada,6,-10,bovada:+158 | fanduel:+145 | draftkings:+144 | espnbet:-165 | caesars:-170 | betmgm:-175
Ivan Herrera,ivan herrera,IVAN_HERRERA_1_MLB,STLOUIS_CARDINALS_MLB,Kansas City Royals @ St. Louis Cardinals,rvthegEIrAEvXgoXqnAa,2+ TB,1.5,130,espnbet,6,124,espnbet:+130 | betmgm:+130 | caesars:+125 | bovada:+120 | fanduel:+120 | draftkings:+119
J.P. Crawford,jp crawford,JP_CRAWFORD_1_MLB,SEATTLE_MARINERS_MLB,San Diego Padres @ Seattle Mariners,t1ipmAaZhJ0nLxBz9tIk,2+ TB,1.5,200,draftkings,6,-33,draftkings:+200 | fanduel:+200 | betmgm:-145 | bovada:-147 | espnbet:-150 | caesars:-154
