player,player_key,player_id,team,game,event_id,market,line,best_odds,best_book,book_count,market_average_odds,all_books,source
Kyle Schwarber,kyle schwarber,KYLE_SCHWARBER_1_MLB,PHILADELPHIA_PHILLIES_MLB,Philadelphia Phillies @ Boston Red Sox,23gDRALOAsa1y24kImKW,1+ Hit,0.5,-175,betmgm,6,-207,betmgm:-175 | draftkings:-186 | caesars:-190 | espnbet:-190 | fanduel:-250 | bovada:-250,SportsGameOdds
Kyle Stowers,kyle stowers,KYLE_STOWERS_1_MLB,MIAMI_MARLINS_MLB,Miami Marlins @ Minnesota Twins,0pKfFJRygIqkDAiziLtP,1+ Hit,0.5,-225,betmgm,6,-253,betmgm:-225 | espnbet:-240 | caesars:-245 | fanduel:-260 | bovada:-265 | draftkings:-285,SportsGameOdds
Kyle Tucker,kyle tucker,KYLE_TUCKER_1_MLB,LOS_ANGELES_DODGERS_MLB,San Francisco Giants @ Los Angeles Dodgers,wPt49zIIwlxXYLw2I1u8,1+ Hit,0.5,-165,espnbet,6,-172,espnbet:-165 | betmgm:-165 | caesars:-173 | fanduel:-175 | bovada:-176 | draftkings:-180,SportsGameOdds
Lane Thomas,lane thomas,LANE_THOMAS_1_MLB,KANSAS_CITY_ROYALS_MLB,Kansas City Royals @ Chicago White Sox,eh92iFxRJBgVtWE9h1zC,1+ Hit,0.5,-126,draftkings,6,-134,draftkings:-126 | caesars:-130 | bovada:-130 | fanduel:-130 | espnbet:-130 | betmgm:-160,SportsGameOdds
Liam Hicks,liam hicks,LIAM_HICKS_1_MLB,MIAMI_MARLINS_MLB,Miami Marlins @ Minnesota Twins,0pKfFJRygIqkDAiziLtP,1+ Hit,0.5,-235,betmgm,6,-245,betmgm:-235 | espnbet:-240 | caesars:-245 | fanduel:-250 | bovada:-250 | draftkings:-253,SportsGameOdds
Lourdes Gurriel Jr.,lourdes gurriel,LOURDES_GURRIEL_JR_1_MLB,ARIZONA_DIAMONDBACKS_MLB,Arizona Diamondbacks @ Texas Rangers,vkPBrqakh6I8g5MslwZk,1+ Hit,0.5,-190,espnbet,6,-212,espnbet:-190 | caesars:-209 | betmgm:-210 | fanduel:-220 | draftkings:-221 | bovada:-225,SportsGameOdds
Luis Arraez,luis arraez,LUIS_ARRAEZ_1_MLB,SAN_FRANCISCO_GIANTS_MLB,San Francisco Giants @ Los Angeles Dodgers,wPt49zIIwlxXYLw2I1u8,1+ Hit,0.5,-240,espnbet,6,-256,espnbet:-240 | fanduel:-250 | bovada:-250 | caesars:-250 | draftkings:-269 | betmgm:-275,SportsGameOdds
Luis Rengifo,luis rengifo,LUIS_RENGIFO_1_MLB,MILWAUKEE_BREWERS_MLB,San Diego Padres @ Milwaukee Brewers,yRSrl3zmDmY5LI1HQojR,1+ Hit,0.5,-129,draftkings,11,-158,draftkings:-129 | caesars:-129 | espnbet:-130 | fanduel:-135 | bovada:-136 | espnbet:-165 | betmgm:-175 | caesars:-179 | bovada:-182 | draftkings:-185 | fanduel:-190,SportsGameOdds
Luis Torrens,luis torrens,LUIS_TORRENS_1_MLB,NEW_YORK_METS_MLB,Detroit Tigers @ New York Mets,aGdkSVb1whCl56ULTR5l,1+ Hit,0.5,-130,espnbet,6,-163,espnbet:-130 | betmgm:-135 | caesars:-141 | draftkings:-151 | fanduel:-210 | bovada:-210,SportsGameOdds
Luke Keaschall,luke keaschall,LUKE_KEASCHALL_1_MLB,MINNESOTA_TWINS_MLB,Miami Marlins @ Minnesota Twins,0pKfFJRygIqkDAiziLtP,1+ Hit,0.5,-190,espnbet,6,-203,espnbet:-190 | fanduel:-200 | bovada:-200 | betmgm:-200 | caesars:-209 | draftkings:-217,SportsGameOdds
